z/z2,RMS_udefect,Horizontal Distance ( Multiple of D),Run
0.044562618,0.25268531,2,1
0.07427103,0.27799618,2,1
0.103979442,0.288650031,2,1
0.133687854,0.331262081,2,1
0.178250472,0.343012499,2,1
0.22281309,0.381057685,2,1
0.297084119,0.509332989,2,1
0.371355149,0.6014983,2,1
0.445626179,0.673527531,2,1
0.519897209,0.73953904,2,1
0.594168239,0.823843058,2,1
0.668439269,0.902619398,2,1
0.742710298,1,2,1
0.891252358,0.941410057,2,1
1.039794418,0.614014449,2,1
1.188336477,0.367406402,2,1
1.336878537,0.206620955,2,1
1.485420597,0.109679922,2,1
1.633962657,0.070925127,2,1
1.931046776,0.025955035,2,1
2.228130895,0.002615018,2,1
2.525215015,-0.00890989,2,1
2.822299134,-0.0399642,2,1
3.119383253,-0.06300353,2,1
3.416467373,-0.08901062,2,1
3.639280462,-0.095617804,2,1
0.043007053,0.581765511,3,1
0.071678422,0.637196458,3,1
0.100349791,0.653172039,3,1
0.129021159,0.694951677,3,1
0.172028213,0.747158751,3,1
0.215035266,0.755144656,3,1
0.286713688,0.815919299,3,1
0.35839211,0.856407808,3,1
0.430070532,0.898238434,3,1
0.501748953,0.912954876,3,1
0.573427375,0.951680711,3,1
0.645105797,0.985785202,3,1
0.716784219,1,3,1
0.860141063,0.97022444,3,1
1.003497907,0.709356599,3,1
1.146854751,0.454475876,3,1
1.290211595,0.277283531,3,1
1.433568439,0.184834679,3,1
1.576925282,0.110106774,3,1
1.86363897,0.05532756,3,1
2.150352658,0.023132999,3,1
2.437066346,-0.015540474,3,1
2.723780033,-0.045417526,3,1
3.010493721,-0.06586153,3,1
3.297207409,-0.145493022,3,1
3.512242674,-0.15197536,3,1
0.042390245,0.597287906,4,1
0.070650408,0.674279203,4,1
0.098910571,0.698452029,4,1
0.127170734,0.742528285,4,1
0.169560978,0.779104469,4,1
0.211951223,0.830676185,4,1
0.282601631,0.899237676,4,1
0.353252038,0.949714797,4,1
0.423902446,1,4,1
0.494552854,0.999796103,4,1
0.565203261,0.994772107,4,1
0.635853669,0.981254326,4,1
0.706504077,0.951929628,4,1
0.847804892,0.887313357,4,1
0.989105707,0.69349332,4,1
1.130406522,0.487621204,4,1
1.271707338,0.325570119,4,1
1.413008153,0.180121756,4,1
1.554308968,0.115934439,4,1
1.836910599,0.029500108,4,1
2.11951223,0.008673113,4,1
2.40211386,-0.037113089,4,1
2.684715491,-0.066287668,4,1
2.967317121,-0.109993844,4,1
3.249918752,-0.131935601,4,1
3.461869975,-0.126626036,4,1
0.047293995,0.655986027,6,1
0.078823325,0.693213969,6,1
0.110352656,0.698268853,6,1
0.141881986,0.743200628,6,1
0.189175981,0.790500178,6,1
0.236469976,0.825379272,6,1
0.315293302,0.895422376,6,1
0.394116627,0.939863271,6,1
0.472939952,0.981534433,6,1
0.551763278,0.985990973,6,1
0.630586603,1,6,1
0.709409929,0.999254875,6,1
0.788233254,0.958391088,6,1
0.945879905,0.873103035,6,1
1.103526556,0.672530521,6,1
1.261173206,0.455947341,6,1
1.418819857,0.288213282,6,1
1.576466508,0.182118712,6,1
1.734113159,0.1439145,6,1
2.04940646,0.078575043,6,1
2.364699762,0.062204129,6,1
2.679993064,0.022814885,6,1
2.995286365,0.000161908,6,1
3.310579667,-0.057337614,6,1
3.625872968,-0.110253836,6,1
3.862342945,-0.114473179,6,1
0.042302377,0.686983431,8,1
0.070503962,0.711348067,8,1
0.098705547,0.694767594,8,1
0.126907132,0.722501922,8,1
0.16920951,0.74054365,8,1
0.211511887,0.793702399,8,1
0.282015849,0.87710885,8,1
0.352519812,0.931309735,8,1
0.423023774,0.958137127,8,1
0.493527736,0.980741897,8,1
0.564031699,1,8,1
0.634535661,0.978739299,8,1
0.705039623,0.953880818,8,1
0.846047548,0.877670644,8,1
0.987055473,0.722794818,8,1
1.128063397,0.546471271,8,1
1.269071322,0.359565783,8,1
1.410079246,0.247165267,8,1
1.551087171,0.181451655,8,1
1.83310302,0.081027256,8,1
2.11511887,0.061155162,8,1
2.397134719,0.025103226,8,1
2.679150568,-0.002497139,8,1
2.961166418,-0.035466422,8,1
3.243182267,-0.089362004,8,1
3.454694154,-0.099356582,8,1
0.038364643,0.654318645,10,1
0.063941072,0.664897303,10,1
0.089517501,0.643023044,10,1
0.115093929,0.680380336,10,1
0.153458573,0.717102274,10,1
0.191823216,0.739484342,10,1
0.255764288,0.822934576,10,1
0.31970536,0.888188011,10,1
0.383646431,0.959396145,10,1
0.447587503,0.951045079,10,1
0.511528575,0.982802394,10,1
0.575469647,1,10,1
